macro_bairro,nome_cliente,bairro_destino,order_datetime,platform,order_mode,distance_km,tempo_preparo_minutos,status,eta_minutes_quote,actual_delivery_minutes,total_brl,classe_pedido,platform_commission_pct,num_itens,satisfacao_nivel
Vila Mariana,Eduardo T. Machado,Aclimação,2024-06-27 13:34:00,whatsapp,retirada,0.21,10,delivered,21,7.6,106.43,prato_unico,0.0,3,5
Itaim,Larissa B. Xavier,Itaim Bibi,2024-06-27 17:18:00,rappi,delivery,4.13,12,delivered,42,19.7,67.35,prato_unico,0.12,2,5
Pinheiros,Larissa Mendes,Pinheiros,2024-06-27 18:07:00,site_proprio,delivery,6.0,34,delivered,47,58.4,270.2,familia,0.0,9,4
Santo Amaro,Bruna X. Gonçalves,Santo Amaro,2024-06-27 18:37:00,ifood,delivery,5.59,19,delivered,44,33.87,134.19,combo,0.16,4,4
Moema,Matheus B. Vieira,Ibirapuera,2024-06-27 19:02:00,ifood,delivery,3.53,22,delivered,39,34.5,105.27,prato_unico,0.12,6,5
Outros,Júlia Cavalcanti,Liberdade,2024-06-27 19:27:00,ifood,delivery,6.59,37,delivered,45,69.4,243.95,familia,0.16,4,2
Outros,Caio Moreira,Perdizes,2024-06-27 21:21:00,rappi,delivery,6.07,14,delivered,47,28.5,143.28,combo,0.16,6,5
Itaim,Rafaela X. Oliveira,Itaim Bibi,2024-06-27 21:22:00,ifood,delivery,4.45,19,delivered,39,28.84,48.29,prato_unico,0.16,1,4
Brooklin,Matheus Rezende,Brooklin,2024-06-27 22:46:00,site_proprio,delivery,1.16,17,delivered,35,19.4,126.84,combo,0.0,4,5
Itaim,Gustavo R. Moreira,Itaim Bibi,2024-06-28 02:49:00,ifood,delivery,3.55,26,delivered,43,48.7,120.77,combo,0.12,5,4
Pinheiros,Fernanda Dantas,Pinheiros,2024-06-28 10:42:00,ifood,delivery,7.0,14,delivered,47,48.1,191.43,familia,0.16,4,4
Santo Amaro,Patrícia U. Nogueira,Chácara Santo Antônio,2024-06-28 10:46:00,site_proprio,delivery,5.17,19,delivered,43,32.71,120.68,combo,0.0,4,5
Brooklin,Caio Batista,Campo Belo,2024-06-28 11:22:00,site_proprio,delivery,1.02,25,delivered,33,28.1,149.26,combo,0.0,4,5
Jardins,Natália Castro,Jardins,2024-06-28 11:59:00,ifood,delivery,5.9,10,delivered,44,34.5,67.9,prato_unico,0.12,3,5
Vila Olímpia,Fernanda R. Santos,Vila Olímpia,2024-06-28 13:12:00,ifood,delivery,2.99,14,delivered,31,23.2,124.52,combo,0.16,2,5
Pinheiros,Rafaela S. Vieira,Pinheiros,2024-06-28 14:17:00,site_proprio,delivery,5.19,15,delivered,40,33.1,92.98,prato_unico,0.0,2,5
Vila Olímpia,Daniela Lopes,Vila Olímpia,2024-06-28 15:53:00,whatsapp,retirada,0.13,31,delivered,28,34.6,156.52,combo,0.0,4,4
Itaim,Bruno Ramos,Itaim Bibi,2024-06-28 15:57:00,rappi,delivery,3.62,13,delivered,36,16.5,57.17,prato_unico,0.12,1,5
Morumbi,Igor B. Dantas,Real Parque,2024-06-29 09:10:00,site_proprio,delivery,9.46,20,delivered,52,52.7,88.12,prato_unico,0.0,3,5
Itaim,Isabela S. Correia,Itaim Bibi,2024-06-29 09:32:00,ifood,delivery,4.66,16,delivered,44,29.3,59.93,prato_unico,0.16,3,5
Morumbi,Yasmin Moreira,Morumbi,2024-06-29 11:26:00,site_proprio,delivery,9.14,33,delivered,53,63.5,164.39,combo,0.0,6,4
Morumbi,Helena Oliveira,Morumbi,2024-06-29 12:32:00,ifood,delivery,7.52,6,delivered,48,38.2,41.89,prato_unico,0.12,1,5
Itaim,Ana Correia,Itaim Bibi,2024-06-29 13:02:00,ifood,delivery,3.88,14,delivered,39,21.7,71.61,prato_unico,0.16,1,5
Outros,Mariana Pereira,Perdizes,2024-06-29 13:11:00,rappi,delivery,7.22,24,delivered,45,53.9,187.79,combo,0.12,5,4
Pinheiros,Mariana S. Araújo,Pinheiros,2024-06-29 13:12:00,whatsapp,retirada,0.12,20,delivered,28,20.9,83.5,prato_unico,0.0,2,5
Santo Amaro,Eduardo G. Costa,Chácara Santo Antônio,2024-06-29 14:02:00,rappi,delivery,5.55,17,delivered,37,35.3,53.73,prato_unico,0.16,3,4
Brooklin,Bruna Ramos,Brooklin,2024-06-29 15:05:00,ifood,delivery,1.46,13,delivered,32,23.0,64.98,prato_unico,0.16,2,5
Vila Mariana,Natália X. Ferreira,Aclimação,2024-06-29 18:02:00,ifood,delivery,4.6,17,delivered,40,35.3,145.44,combo,0.16,5,5
Brooklin,Patrícia T. Araújo,Brooklin,2024-06-29 18:27:00,site_proprio,delivery,0.71,13,delivered,36,20.72,111.71,prato_unico,0.0,6,5
Vila Olímpia,Lucas Lima,Vila Olímpia,2024-06-29 19:08:00,ifood,delivery,3.01,31,delivered,41,48.7,143.84,combo,0.16,5,3
Santo Amaro,Gustavo N. Teixeira,Santo Amaro,2024-06-29 20:13:00,rappi,delivery,6.65,9,delivered,43,29.9,60.88,prato_unico,0.12,1,5
Vila Olímpia,Matheus Vieira,Vila Olímpia,2024-06-29 20:15:00,rappi,delivery,3.49,19,delivered,35,29.2,96.56,combo,0.16,2,5
Moema,Tatiane Y. Barros,Ibirapuera,2024-06-29 20:47:00,site_proprio,delivery,3.12,17,delivered,37,23.4,79.43,prato_unico,0.0,4,5
Morumbi,Nicolas Ramos,Morumbi,2024-06-30 00:43:00,ifood,delivery,8.23,16,delivered,49,40.2,132.49,combo,0.16,3,5
Itaim,Henrique Barbosa,Itaim Bibi,2024-06-30 08:31:00,ifood,delivery,4.8,10,delivered,41,41.3,52.77,prato_unico,0.16,2,4
Santo Amaro,Bruna O. Carvalho,Chácara Santo Antônio,2024-06-30 10:55:00,ifood,delivery,5.81,15,delivered,44,41.6,80.07,prato_unico,0.12,2,5
Morumbi,Natália Almeida,Real Parque,2024-06-30 11:14:00,ifood,delivery,8.69,6,delivered,47,28.1,54.26,prato_unico,0.12,3,5
Brooklin,Gustavo O. Rocha,Brooklin,2024-06-30 11:37:00,whatsapp,retirada,0.19,6,delivered,19,0.5,81.27,prato_unico,0.0,1,5
Outros,Larissa R. Machado,Bela Vista,2024-06-30 13:36:00,ifood,delivery,6.18,12,delivered,42,37.32,87.99,combo,0.16,1,4
Pinheiros,Nicolas Santos,Pinheiros,2024-06-30 14:08:00,site_proprio,delivery,5.47,7,delivered,42,28.2,62.25,prato_unico,0.0,2,5
Itaim,Júlia Melo,Itaim Bibi,2024-06-30 14:37:00,ifood,delivery,5.49,23,delivered,45,45.9,173.36,combo,0.12,7,4
Santo Amaro,Ana Gonçalves,Santo Amaro,2024-06-30 14:44:00,ifood,delivery,5.08,25,delivered,48,42.7,81.52,prato_unico,0.16,3,5
Pinheiros,Gustavo Pereira,Pinheiros,2024-06-30 15:40:00,ifood,delivery,6.51,8,delivered,41,29.3,108.55,combo,0.16,2,5
Vila Mariana,Gabriela O. Miranda,Aclimação,2024-06-30 15:55:00,ifood,delivery,4.5,28,delivered,40,47.1,171.03,combo,0.12,6,4
Vila Mariana,Rafael Almeida,Aclimação,2024-06-30 17:35:00,site_proprio,delivery,5.12,21,delivered,40,40.2,131.21,combo,0.0,2,5
Brooklin,Helena Correia,Campo Belo,2024-06-30 19:14:00,ifood,delivery,0.95,6,delivered,32,21.57,116.67,combo,0.12,2,5
Brooklin,Otávio E. Borges,Brooklin,2024-06-30 19:20:00,whatsapp,retirada,0.1,6,delivered,21,5.7,62.22,prato_unico,0.0,2,5
Santo Amaro,Sabrina Gomes,Santo Amaro,2024-06-30 19:54:00,rappi,delivery,4.85,9,canceled,39,33.87,55.0,prato_unico,0.16,1,4
Vila Mariana,Gustavo Costa,Vila Mariana,2024-06-30 19:54:00,ifood,delivery,4.17,6,delivered,38,21.0,90.04,prato_unico,0.16,1,5
Brooklin,Ana Oliveira,Campo Belo,2024-06-30 20:26:00,whatsapp,retirada,0.04,28,delivered,29,45.8,256.65,familia,0.0,7,3
Santo Amaro,Vítor G. Oliveira,Chácara Santo Antônio,2024-06-30 20:43:00,ifood,delivery,5.69,20,delivered,44,42.3,122.17,prato_unico,0.16,8,4
Santo Amaro,Otávio Gonçalves,Santo Amaro,2024-06-30 21:02:00,site_proprio,retirada,0.07,42,delivered,35,44.8,255.1,familia,0.0,7,4
Santo Amaro,Gabriela Ramos,Santo Amaro,2024-06-30 21:27:00,ifood,delivery,6.66,13,delivered,42,40.5,115.37,combo,0.12,3,5
Morumbi,Yasmin L. Moreira,Morumbi,2024-07-01 00:07:00,site_proprio,delivery,8.53,18,delivered,48,49.9,142.37,combo,0.0,5,5
Santo Amaro,Yuri Barbosa,Chácara Santo Antônio,2024-07-01 06:50:00,ifood,delivery,7.23,9,delivered,48,35.5,58.76,prato_unico,0.16,3,5
Pinheiros,Bruna Pereira,Pinheiros,2024-07-01 09:52:00,ifood,delivery,5.1,23,delivered,40,44.9,142.22,combo,0.16,5,4
Vila Mariana,Rafaela Almeida,Aclimação,2024-07-01 10:50:00,ifood,delivery,5.72,19,canceled,46,49.8,132.37,combo,0.12,1,4
Brooklin,Júlia J. Correia,Campo Belo,2024-07-01 11:01:00,site_proprio,delivery,1.61,13,delivered,30,13.9,69.09,prato_unico,0.0,1,5
Vila Mariana,Pedro Vieira,Paraíso,2024-07-01 11:11:00,ifood,delivery,4.41,16,delivered,43,34.3,85.43,combo,0.12,3,5
Brooklin,Larissa O. Costa,Brooklin,2024-07-01 12:48:00,ifood,delivery,0.1,9,canceled,34,5.6,115.45,prato_unico,0.12,5,5
Vila Olímpia,Caio Mendes,Vila Olímpia,2024-07-01 18:21:00,ifood,delivery,3.37,8,delivered,37,22.5,92.74,prato_unico,0.16,3,5
Brooklin,Olívia Dantas,Brooklin,2024-07-01 18:27:00,ifood,delivery,1.72,26,delivered,40,29.6,205.41,familia,0.16,4,5
Vila Olímpia,Gabriela Batista,Vila Olímpia,2024-07-01 18:27:00,whatsapp,retirada,0.27,21,delivered,28,21.7,107.56,prato_unico,0.0,4,5
Outros,Felipe Z. Dantas,Liberdade,2024-07-01 19:33:00,whatsapp,retirada,0.13,21,delivered,26,22.0,133.91,combo,0.0,5,5
Outros,Yasmin Gonçalves,Butantã,2024-07-02 07:24:00,site_proprio,retirada,0.28,16,delivered,27,23.2,85.75,prato_unico,0.0,4,5
Brooklin,Isabela Carvalho,Brooklin,2024-07-02 09:07:00,ifood,delivery,0.55,16,delivered,29,24.0,115.28,prato_unico,0.16,4,5
Morumbi,Helena Dantas,Real Parque,2024-07-02 11:42:00,whatsapp,retirada,0.19,12,delivered,26,7.4,95.52,prato_unico,0.0,5,5
Moema,Bruna Teixeira,Moema,2024-07-02 11:56:00,ifood,delivery,3.68,17,delivered,42,30.9,35.55,prato_unico,0.16,1,5
Brooklin,Natália D. Gomes,Campo Belo,2024-07-02 12:02:00,ifood,delivery,0.95,25,delivered,31,27.0,129.05,combo,0.12,3,5
Jardins,Eduarda Marques,Jardim Paulista,2024-07-02 12:39:00,site_proprio,delivery,5.83,8,delivered,45,21.4,105.22,combo,0.0,2,5
Pinheiros,Eduardo G. Ribeiro,Pinheiros,2024-07-02 12:52:00,site_proprio,delivery,4.79,13,delivered,50,36.6,98.38,prato_unico,0.0,3,5
Moema,Sabrina Costa,Ibirapuera,2024-07-02 14:00:00,whatsapp,retirada,0.1,8,delivered,19,7.5,66.62,prato_unico,0.0,2,5
Vila Olímpia,Matheus F. Carvalho,Vila Olímpia,2024-07-02 15:16:00,whatsapp,retirada,0.11,11,delivered,21,24.5,62.48,prato_unico,0.0,2,5
Moema,Helena J. Araújo,Moema,2024-07-02 17:28:00,ifood,delivery,3.25,21,delivered,45,35.8,152.48,combo,0.12,4,5
Brooklin,Tatiane Ramos,Campo Belo,2024-07-02 20:00:00,site_proprio,delivery,2.07,13,delivered,37,14.1,82.21,prato_unico,0.0,3,5
Moema,Tatiane Souza,Moema,2024-07-02 22:02:00,ifood,delivery,2.29,15,delivered,38,21.1,100.75,combo,0.16,2,5
Pinheiros,André Melo,Pinheiros,2024-07-03 08:07:00,site_proprio,retirada,0.04,24,delivered,25,31.6,156.52,combo,0.0,4,4
Itaim,Rafaela L. Gonçalves,Itaim Bibi,2024-07-03 08:11:00,ifood,delivery,3.81,12,delivered,38,36.0,92.5,prato_unico,0.16,4,4
Morumbi,Gabriela Melo,Real Parque,2024-07-03 10:35:00,ifood,delivery,8.26,6,delivered,45,25.5,54.84,prato_unico,0.16,1,5
Jardins,Daniela C. Batista,Jardins,2024-07-03 10:46:00,ifood,delivery,5.71,15,delivered,36,25.7,104.67,combo,0.16,1,5
Moema,Yasmin Fernandes,Moema,2024-07-03 11:33:00,site_proprio,delivery,3.84,19,delivered,37,42.7,119.14,combo,0.0,4,4
Vila Mariana,Caio Almeida,Vila Mariana,2024-07-03 13:15:00,site_proprio,delivery,5.1,16,delivered,40,36.1,54.89,prato_unico,0.0,1,5
Santo Amaro,Thiago Costa,Chácara Santo Antônio,2024-07-03 13:22:00,ifood,delivery,6.08,17,delivered,47,34.1,83.65,prato_unico,0.12,3,5
Santo Amaro,Yasmin Almeida,Santo Amaro,2024-07-03 13:33:00,site_proprio,delivery,6.94,21,delivered,46,48.3,73.88,prato_unico,0.0,2,5
Brooklin,Gustavo Z. Gomes,Campo Belo,2024-07-03 14:16:00,site_proprio,retirada,0.12,20,delivered,29,9.1,155.09,combo,0.0,4,5
Vila Olímpia,Felipe Teixeira,Vila Olímpia,2024-07-03 17:22:00,ifood,delivery,4.26,10,delivered,42,24.9,81.26,prato_unico,0.16,3,5
Vila Olímpia,Daniel H. Lopes,Vila Olímpia,2024-07-03 18:27:00,rappi,delivery,2.47,17,delivered,37,28.4,126.42,combo,0.16,2,5
Brooklin,João Y. Santos,Campo Belo,2024-07-03 20:59:00,rappi,delivery,0.65,12,delivered,32,19.9,109.74,prato_unico,0.16,6,5
Outros,Daniela W. Rezende,Bela Vista,2024-07-03 21:45:00,ifood,delivery,6.56,14,delivered,44,37.32,87.04,prato_unico,0.16,2,4
Brooklin,Valentina Lopes,Campo Belo,2024-07-03 21:49:00,ifood,delivery,1.05,11,delivered,28,16.0,94.76,prato_unico,0.12,4,5
Itaim,Vítor Ramos,Itaim Bibi,2024-07-04 08:18:00,ifood,delivery,2.22,16,delivered,29,20.2,63.0,prato_unico,0.16,1,5
Vila Mariana,Daniela Lima,Paraíso,2024-07-04 08:25:00,site_proprio,retirada,0.02,16,delivered,28,18.9,92.6,prato_unico,0.0,4,5
Vila Olímpia,Gustavo P. Souza,Vila Olímpia,2024-07-04 09:38:00,ifood,delivery,4.3,22,delivered,38,33.7,63.28,prato_unico,0.16,2,5
Moema,Mariana G. Pereira,Moema,2024-07-04 10:12:00,site_proprio,retirada,0.07,32,delivered,28,33.3,223.2,familia,0.0,4,4
Moema,Valentina Fernandes,Moema,2024-07-04 12:19:00,ifood,delivery,2.58,13,delivered,36,20.8,69.8,prato_unico,0.12,2,5
Moema,Sabrina Mendes,Ibirapuera,2024-07-04 13:12:00,whatsapp,retirada,0.27,9,delivered,16,13.8,49.67,prato_unico,0.0,1,5
Vila Olímpia,Larissa Vieira,Vila Olímpia,2024-07-04 14:23:00,whatsapp,retirada,0.03,19,delivered,22,25.3,111.8,prato_unico,0.0,4,5
Moema,Lucas O. Borges,Ibirapuera,2024-07-04 15:22:00,ifood,delivery,2.09,17,delivered,38,24.3,104.85,combo,0.16,3,5
Vila Olímpia,Pedro E. Souza,Vila Olímpia,2024-07-04 17:29:00,ifood,delivery,3.52,14,delivered,39,26.9,104.86,combo,0.16,2,4
Vila Mariana,Isabela Rezende,Aclimação,2024-07-04 18:15:00,ifood,delivery,4.71,6,delivered,40,14.7,120.22,combo,0.12,2,5
Jardins,Eduardo Costa,Jardins,2024-07-04 19:30:00,ifood,delivery,5.8,20,delivered,47,39.3,120.73,combo,0.16,2,5
Brooklin,João Lima,Campo Belo,2024-07-04 19:37:00,ifood,delivery,0.1,19,delivered,31,21.0,154.48,combo,0.12,6,5
Moema,Lucas X. Souza,Ibirapuera,2024-07-04 20:16:00,ifood,delivery,4.01,21,delivered,41,49.2,120.57,prato_unico,0.16,6,3
Jardins,Igor Moreira,Jardim Paulista,2024-07-04 20:17:00,whatsapp,retirada,0.02,18,delivered,27,14.3,107.09,combo,0.0,1,5
Brooklin,Eduarda Cavalcanti,Brooklin,2024-07-04 20:27:00,site_proprio,delivery,1.83,18,delivered,30,33.1,61.65,prato_unico,0.0,3,5
Itaim,Eduardo D. Costa,Itaim Bibi,2024-07-04 20:34:00,ifood,delivery,3.49,10,delivered,43,27.3,62.76,prato_unico,0.16,2,5
Brooklin,João L. Teixeira,Brooklin,2024-07-04 20:37:00,ifood,delivery,1.75,19,delivered,36,28.0,179.45,combo,0.16,6,5
Pinheiros,Thiago Almeida,Pinheiros,2024-07-04 20:51:00,ifood,delivery,6.66,7,delivered,42,38.1,45.71,prato_unico,0.16,1,5
Itaim,Eduardo Barbosa,Itaim Bibi,2024-07-04 22:28:00,ifood,delivery,5.2,16,delivered,47,36.4,78.03,prato_unico,0.12,3,5
Brooklin,Tatiane Z. Duarte,Campo Belo,2024-07-05 08:31:00,ifood,delivery,0.1,13,delivered,32,16.6,102.28,combo,0.16,2,5
Brooklin,Nicolas O. Carvalho,Campo Belo,2024-07-05 10:41:00,ifood,delivery,0.53,11,delivered,28,13.6,77.49,prato_unico,0.12,3,5
Vila Olímpia,Nicolas M. Oliveira,Vila Olímpia,2024-07-05 11:45:00,ifood,delivery,2.39,18,delivered,39,26.9,75.65,prato_unico,0.12,3,4
Vila Mariana,Daniela Batista,Paraíso,2024-07-05 11:58:00,site_proprio,delivery,4.15,7,delivered,39,26.7,72.9,prato_unico,0.0,2,5
Santo Amaro,Eduarda Machado,Chácara Santo Antônio,2024-07-05 13:34:00,ifood,delivery,6.41,8,delivered,46,26.5,59.36,prato_unico,0.12,1,5
Vila Olímpia,Igor F. Almeida,Vila Olímpia,2024-07-05 13:57:00,ifood,delivery,2.04,12,canceled,34,13.2,91.2,prato_unico,0.16,3,5
Vila Olímpia,Mariana Nogueira,Vila Olímpia,2024-07-05 14:05:00,ifood,delivery,3.31,16,delivered,37,27.4,87.04,combo,0.12,1,5
Morumbi,Nicolas Costa,Morumbi,2024-07-05 14:37:00,site_proprio,delivery,8.5,9,delivered,45,33.5,62.09,prato_unico,0.0,2,5
Santo Amaro,Tatiane C. Miranda,Santo Amaro,2024-07-05 15:08:00,ifood,delivery,6.23,30,delivered,47,33.87,160.61,combo,0.16,6,4
Brooklin,Rafaela A. Teixeira,Brooklin,2024-07-05 15:44:00,ifood,delivery,1.19,19,delivered,33,31.0,152.03,combo,0.12,5,5
Outros,Vítor Melo,Butantã,2024-07-05 15:45:00,site_proprio,delivery,8.02,15,delivered,50,40.3,100.1,combo,0.0,2,5
Itaim,Lucas R. Rezende,Itaim Bibi,2024-07-05 18:03:00,ifood,delivery,4.6,15,delivered,45,31.2,75.73,prato_unico,0.16,1,5
Pinheiros,Bruna X. Ferreira,Pinheiros,2024-07-05 19:29:00,whatsapp,retirada,4.79,12,delivered,23,22.3,97.4,prato_unico,0.0,3,5
Itaim,Júlia Santos,Itaim Bibi,2024-07-06 08:40:00,site_proprio,delivery,5.48,16,delivered,47,39.7,67.97,prato_unico,0.0,3,5
Brooklin,Isabela Xavier,Brooklin,2024-07-06 09:38:00,ifood,delivery,0.34,7,delivered,29,20.72,68.24,prato_unico,0.12,3,5
Moema,Carla Rezende,Ibirapuera,2024-07-06 10:25:00,ifood,delivery,2.39,8,delivered,34,13.5,58.42,prato_unico,0.12,2,5
Moema,Gustavo F. Souza,Moema,2024-07-06 11:24:00,ifood,delivery,2.99,10,delivered,40,21.8,127.49,prato_unico,0.16,4,5
Outros,Eduardo U. Souza,Perdizes,2024-07-06 12:02:00,site_proprio,delivery,6.71,19,delivered,49,48.7,108.75,combo,0.0,2,5
Vila Mariana,Rafael O. Barbosa,Aclimação,2024-07-06 13:43:00,ifood,delivery,5.3,14,delivered,40,30.2,156.36,combo,0.16,4,5
Pinheiros,João Almeida,Pinheiros,2024-07-06 14:22:00,site_proprio,delivery,5.56,6,delivered,44,15.3,85.8,combo,0.0,2,5
Brooklin,Henrique A. Barros,Brooklin,2024-07-06 14:58:00,whatsapp,retirada,0.15,10,delivered,21,14.5,63.16,prato_unico,0.0,3,5
Pinheiros,Ana A. Moreira,Pinheiros,2024-07-06 15:30:00,site_proprio,delivery,5.54,23,delivered,42,40.1,128.1,combo,0.0,4,5
Morumbi,Mariana N. Barbosa,Real Parque,2024-07-06 18:47:00,rappi,delivery,8.54,31,delivered,49,55.9,222.11,familia,0.12,6,4
Jardins,Lucas Duarte,Jardins,2024-07-06 18:55:00,site_proprio,delivery,4.64,11,delivered,42,24.1,74.78,prato_unico,0.0,3,5
Vila Olímpia,Bruna Martins,Vila Olímpia,2024-07-06 19:02:00,ifood,delivery,1.37,12,delivered,33,16.7,48.97,prato_unico,0.12,1,5
Vila Mariana,Nicolas J. Ferreira,Vila Mariana,2024-07-06 19:48:00,rappi,delivery,4.63,12,delivered,40,25.2,57.31,prato_unico,0.12,2,5
Vila Mariana,Samuel Miranda,Aclimação,2024-07-06 20:11:00,ifood,delivery,4.08,17,delivered,40,20.9,130.98,combo,0.12,2,5
Vila Olímpia,Bruno Machado,Vila Olímpia,2024-07-06 20:11:00,rappi,delivery,3.33,16,delivered,39,32.9,91.16,prato_unico,0.16,2,5
Vila Mariana,Larissa Xavier,Aclimação,2024-07-06 20:28:00,ifood,delivery,5.49,13,delivered,45,38.5,94.64,prato_unico,0.12,3,5
Moema,Felipe Correia,Ibirapuera,2024-07-06 20:34:00,ifood,delivery,3.32,20,canceled,43,36.1,113.86,prato_unico,0.16,5,5
Vila Mariana,Yasmin T. Moreira,Paraíso,2024-07-06 21:34:00,ifood,delivery,4.87,9,delivered,41,20.0,78.59,prato_unico,0.12,3,5
Pinheiros,Felipe Rocha,Pinheiros,2024-07-07 04:14:00,ifood,delivery,6.94,27,delivered,47,51.3,114.14,combo,0.12,2,4
Santo Amaro,Daniel P. Mendes,Santo Amaro,2024-07-07 07:16:00,ifood,delivery,4.85,14,delivered,46,35.1,76.9,prato_unico,0.12,4,5
Santo Amaro,Daniel Nogueira,Santo Amaro,2024-07-07 09:19:00,rappi,delivery,7.47,10,delivered,49,38.3,63.44,prato_unico,0.12,1,5
Moema,Pedro Moreira,Ibirapuera,2024-07-07 09:36:00,site_proprio,delivery,2.8,6,delivered,35,19.0,37.2,prato_unico,0.0,1,5
Brooklin,Carla Lima,Campo Belo,2024-07-07 09:53:00,site_proprio,retirada,0.03,17,delivered,28,15.1,48.69,prato_unico,0.0,1,5
Moema,Daniel C. Duarte,Moema,2024-07-07 11:50:00,rappi,delivery,1.46,37,delivered,35,45.8,166.89,combo,0.12,4,3
Brooklin,Henrique L. Santos,Campo Belo,2024-07-07 12:08:00,ifood,delivery,0.1,12,delivered,30,15.8,138.11,combo,0.12,2,5
Pinheiros,Caio Correia,Pinheiros,2024-07-07 12:42:00,site_proprio,retirada,0.06,29,delivered,29,39.3,119.1,combo,0.0,1,4
Itaim,Tatiane Araújo,Itaim Bibi,2024-07-07 12:46:00,ifood,delivery,4.34,12,delivered,35,30.8,86.2,prato_unico,0.16,2,5
Santo Amaro,Isabela Lopes,Chácara Santo Antônio,2024-07-07 12:46:00,rappi,delivery,7.07,7,delivered,47,34.6,71.91,prato_unico,0.16,3,5
Pinheiros,Bruna Silva,Pinheiros,2024-07-07 13:24:00,site_proprio,delivery,5.43,8,delivered,39,26.9,46.33,prato_unico,0.0,2,5
Vila Olímpia,Helena G. Dias,Vila Olímpia,2024-07-07 13:43:00,ifood,delivery,3.18,17,delivered,36,36.1,162.78,combo,0.12,6,4
Itaim,Samuel L. Ferreira,Itaim Bibi,2024-07-07 16:50:00,site_proprio,delivery,4.21,10,delivered,43,26.7,96.54,prato_unico,0.0,4,5
Moema,Fernanda Ribeiro,Ibirapuera,2024-07-07 17:01:00,site_proprio,delivery,4.08,28,delivered,43,39.8,263.48,familia,0.0,9,5
Brooklin,Carla W. Ramos,Brooklin,2024-07-07 19:07:00,rappi,delivery,0.92,6,delivered,31,16.6,61.16,prato_unico,0.12,2,5
Jardins,Mariana I. Lopes,Jardins,2024-07-07 19:36:00,ifood,delivery,4.71,26,delivered,44,47.4,245.23,familia,0.12,6,4
Brooklin,Olívia Fernandes,Brooklin,2024-07-08 00:01:00,ifood,delivery,0.1,25,delivered,35,25.6,125.21,combo,0.16,4,5
Brooklin,Nicolas Cavalcanti,Brooklin,2024-07-08 09:06:00,rappi,delivery,0.93,10,delivered,31,11.6,76.39,prato_unico,0.12,4,5
Itaim,Rafaela Miranda,Itaim Bibi,2024-07-08 09:09:00,ifood,delivery,4.52,8,delivered,37,25.0,61.28,prato_unico,0.12,3,5
Vila Mariana,Sabrina Santos,Paraíso,2024-07-08 09:45:00,site_proprio,delivery,4.91,26,delivered,46,46.9,112.07,combo,0.0,1,5
Brooklin,Larissa Barbosa,Campo Belo,2024-07-08 10:01:00,ifood,delivery,0.31,9,delivered,29,11.9,100.88,combo,0.12,3,5
Moema,Vítor E. Carvalho,Ibirapuera,2024-07-08 10:24:00,rappi,delivery,2.6,20,delivered,41,34.8,75.74,prato_unico,0.16,3,5
Outros,Bruna Costa,Bela Vista,2024-07-08 12:58:00,ifood,delivery,6.77,6,delivered,47,37.1,44.21,prato_unico,0.12,1,5
Pinheiros,Olívia I. Moreira,Pinheiros,2024-07-08 15:00:00,ifood,delivery,6.46,14,delivered,41,41.8,117.29,combo,0.16,3,4
Outros,Tatiane M. Dias,Bela Vista,2024-07-08 16:35:00,ifood,delivery,6.04,9,delivered,43,36.6,44.89,prato_unico,0.16,2,5
Vila Mariana,Isabela Borges,Aclimação,2024-07-08 17:13:00,ifood,delivery,5.82,18,delivered,47,43.4,145.71,combo,0.12,5,5
Brooklin,João J. Costa,Campo Belo,2024-07-08 19:27:00,ifood,delivery,0.86,14,delivered,37,17.4,79.91,prato_unico,0.12,1,5
Itaim,Gabriela V. Barbosa,Itaim Bibi,2024-07-08 20:14:00,rappi,delivery,5.04,25,delivered,48,45.9,122.03,combo,0.16,2,4
Moema,Bruna Barbosa,Moema,2024-07-08 21:06:00,ifood,delivery,3.86,6,delivered,41,28.2,87.92,prato_unico,0.16,2,5
Itaim,Carla V. Rezende,Itaim Bibi,2024-07-08 21:44:00,ifood,delivery,3.4,26,delivered,41,38.6,170.81,combo,0.12,5,5
Outros,Henrique Oliveira,Bela Vista,2024-07-09 07:11:00,ifood,delivery,6.64,18,delivered,43,37.1,116.07,combo,0.12,1,5
Vila Olímpia,Pedro Souza,Vila Olímpia,2024-07-09 10:17:00,site_proprio,delivery,4.24,26,delivered,42,39.1,141.92,combo,0.0,4,5
Vila Olímpia,Fernanda N. Santos,Vila Olímpia,2024-07-09 12:04:00,ifood,delivery,3.87,6,canceled,39,13.7,105.14,combo,0.12,2,5
Brooklin,Patrícia Miranda,Campo Belo,2024-07-09 12:12:00,rappi,delivery,1.22,27,delivered,31,29.7,163.06,combo,0.12,5,5
Santo Amaro,Mariana N. Pereira,Santo Amaro,2024-07-09 12:47:00,ifood,delivery,5.27,12,delivered,46,28.5,103.72,combo,0.12,2,5
Brooklin,Valentina Q. Rocha,Campo Belo,2024-07-09 13:28:00,whatsapp,retirada,0.2,27,canceled,30,23.2,123.36,combo,0.0,5,5
Vila Mariana,Vítor P. Costa,Aclimação,2024-07-09 13:35:00,ifood,delivery,4.98,18,delivered,42,36.1,121.78,combo,0.16,2,5
Jardins,Felipe Gomes,Jardins,2024-07-09 17:45:00,ifood,delivery,6.79,33,delivered,44,62.9,129.43,combo,0.16,4,2
